"scenario","year","variable","value","units"
"ssp126",1872,"Tgav",0.179243893534166,"degC"
"ssp126",1873,"Tgav",0.181311346464658,"degC"
"ssp126",1874,"Tgav",0.184600173644304,"degC"
"ssp126",1875,"Tgav",0.187633750257234,"degC"
"ssp126",1876,"Tgav",0.186948249780991,"degC"
"ssp126",1877,"Tgav",0.18675495272082,"degC"
"ssp126",1878,"Tgav",0.190445548830516,"degC"
"ssp126",1879,"Tgav",0.19570843987078,"degC"
"ssp126",1880,"Tgav",0.20105931922921,"degC"
"ssp126",1881,"Tgav",0.206631970142871,"degC"
"ssp126",1882,"Tgav",0.201718544316888,"degC"
"ssp126",1883,"Tgav",0.118752424310098,"degC"
"ssp126",1884,"Tgav",-0.0129312040525703,"degC"
"ssp126",1885,"Tgav",-0.0630875812986548,"degC"
"ssp126",1886,"Tgav",-0.0510714836184401,"degC"
"ssp126",1887,"Tgav",-0.0305454922791917,"degC"
"ssp126",1888,"Tgav",-0.00929031401531195,"degC"
"ssp126",1889,"Tgav",-0.000421327201755684,"degC"
"ssp126",1890,"Tgav",-0.00106123718697597,"degC"
"ssp126",1891,"Tgav",0.00353749049250792,"degC"
"ssp126",1892,"Tgav",0.0225353435522128,"degC"
"ssp126",1893,"Tgav",0.0507149532977525,"degC"
"ssp126",1894,"Tgav",0.081534063854569,"degC"
"ssp126",1895,"Tgav",0.104354494714902,"degC"
"ssp126",1896,"Tgav",0.108730970707631,"degC"
"ssp126",1897,"Tgav",0.104542548266725,"degC"
"ssp126",1898,"Tgav",0.110740614156632,"degC"
"ssp126",1899,"Tgav",0.125978146795023,"degC"
"ssp126",1900,"Tgav",0.142726593501734,"degC"
"ssp126",1901,"Tgav",0.155203351559551,"degC"
"ssp126",1902,"Tgav",0.126188721769284,"degC"
"ssp126",1903,"Tgav",0.0669092682069369,"degC"
"ssp126",1904,"Tgav",0.0469595540147849,"degC"
"ssp126",1905,"Tgav",0.0665053849013008,"degC"
"ssp126",1906,"Tgav",0.091223688393483,"degC"
"ssp126",1907,"Tgav",0.105395394222376,"degC"
"ssp126",1908,"Tgav",0.117671435531606,"degC"
"ssp126",1909,"Tgav",0.132813674127005,"degC"
"ssp126",1910,"Tgav",0.147589362337198,"degC"
"ssp126",1911,"Tgav",0.160599339695503,"degC"
"ssp126",1912,"Tgav",0.149591399975894,"degC"
"ssp126",1913,"Tgav",0.129943767917993,"degC"
"ssp126",1914,"Tgav",0.136325578546449,"degC"
"ssp126",1915,"Tgav",0.153734460891851,"degC"
"ssp126",1916,"Tgav",0.168242196976542,"degC"
"ssp126",1917,"Tgav",0.179467693932731,"degC"
"ssp126",1918,"Tgav",0.1894919085741,"degC"
"ssp126",1919,"Tgav",0.201241323139732,"degC"
"ssp126",1920,"Tgav",0.202130562263361,"degC"
"ssp126",1921,"Tgav",0.205766032901413,"degC"
"ssp126",1922,"Tgav",0.216653793199167,"degC"
"ssp126",1923,"Tgav",0.224960557809713,"degC"
"ssp126",1924,"Tgav",0.231107080289305,"degC"
"ssp126",1925,"Tgav",0.236885549355951,"degC"
"ssp126",1926,"Tgav",0.242978427909548,"degC"
"ssp126",1927,"Tgav",0.247464845704717,"degC"
"ssp126",1928,"Tgav",0.247786759862206,"degC"
"ssp126",1929,"Tgav",0.242999988552329,"degC"
"ssp126",1930,"Tgav",0.244608660370308,"degC"
"ssp126",1931,"Tgav",0.253304209959151,"degC"
"ssp126",1932,"Tgav",0.261977502953581,"degC"
"ssp126",1933,"Tgav",0.268821047500803,"degC"
"ssp126",1934,"Tgav",0.276112653115062,"degC"
"ssp126",1935,"Tgav",0.281646504579319,"degC"
